tb,slot,lag,past_cqi,past_mcs,past_ack,exp_cqi,exp_mcs,exp_ack,ok
0,0,0,-1,-1,-1,-1,-1,-1,Y
0,0,1,-1,-1,-1,-1,-1,-1,Y
0,0,2,-1,-1,-1,-1,-1,-1,Y
1,2,0,0.7333,0.6800,0.0000,0.7333,0.6800,0.0000,Y
1,2,1,-1,-1,-1,-1,-1,-1,Y
1,2,2,-1,-1,-1,-1,-1,-1,Y
2,3,0,0.6000,0.4800,1.0000,0.6000,0.4800,1.0000,Y
2,3,1,0.7333,0.6800,0.0000,0.7333,0.6800,0.0000,Y
2,3,2,-1,-1,-1,-1,-1,-1,Y
3,4,0,0.7333,0.6800,1.0000,0.7333,0.6800,1.0000,Y
3,4,1,0.6000,0.4800,1.0000,0.6000,0.4800,1.0000,Y
3,4,2,0.7333,0.6800,0.0000,0.7333,0.6800,0.0000,Y
4,6,0,0.7333,0.6800,0.0000,0.7333,0.6800,0.0000,Y
4,6,1,0.7333,0.6800,1.0000,0.7333,0.6800,1.0000,Y
4,6,2,0.6000,0.4800,1.0000,0.6000,0.4800,1.0000,Y
5,7,0,0.7333,0.6800,1.0000,0.7333,0.6800,1.0000,Y
5,7,1,0.7333,0.6800,0.0000,0.7333,0.6800,0.0000,Y
5,7,2,0.7333,0.6800,1.0000,0.7333,0.6800,1.0000,Y
6,8,0,0.7333,0.6800,1.0000,0.7333,0.6800,1.0000,Y
6,8,1,0.7333,0.6800,1.0000,0.7333,0.6800,1.0000,Y
6,8,2,0.7333,0.6800,0.0000,0.7333,0.6800,0.0000,Y
7,10,0,0.8667,0.8400,0.0000,0.8667,0.8400,0.0000,Y
7,10,1,0.7333,0.6800,1.0000,0.7333,0.6800,1.0000,Y
7,10,2,0.7333,0.6800,1.0000,0.7333,0.6800,1.0000,Y
8,12,0,0.8667,0.8400,0.0000,0.8667,0.8400,0.0000,Y
8,12,1,0.8667,0.8400,0.0000,0.8667,0.8400,0.0000,Y
8,12,2,0.7333,0.6800,1.0000,0.7333,0.6800,1.0000,Y
9,15,0,0.6667,0.6000,0.0000,0.6667,0.6000,0.0000,Y
9,15,1,0.8667,0.8400,0.0000,0.8667,0.8400,0.0000,Y
9,15,2,0.8667,0.8400,0.0000,0.8667,0.8400,0.0000,Y
10,17,0,0.4000,0.2000,0.0000,0.4000,0.2000,0.0000,Y
10,17,1,0.6667,0.6000,0.0000,0.6667,0.6000,0.0000,Y
10,17,2,0.8667,0.8400,0.0000,0.8667,0.8400,0.0000,Y
11,18,0,0.2000,0.0000,1.0000,0.2000,0.0000,1.0000,Y
11,18,1,0.4000,0.2000,0.0000,0.4000,0.2000,0.0000,Y
11,18,2,0.6667,0.6000,0.0000,0.6667,0.6000,0.0000,Y
12,19,0,0.2000,0.0000,1.0000,0.2000,0.0000,1.0000,Y
12,19,1,0.2000,0.0000,1.0000,0.2000,0.0000,1.0000,Y
12,19,2,0.4000,0.2000,0.0000,0.4000,0.2000,0.0000,Y
13,20,0,0.2000,0.0000,1.0000,0.2000,0.0000,1.0000,Y
13,20,1,0.2000,0.0000,1.0000,0.2000,0.0000,1.0000,Y
13,20,2,0.2000,0.0000,1.0000,0.2000,0.0000,1.0000,Y
14,21,0,0.2667,0.0400,1.0000,0.2667,0.0400,1.0000,Y
14,21,1,0.2000,0.0000,1.0000,0.2000,0.0000,1.0000,Y
14,21,2,0.2000,0.0000,1.0000,0.2000,0.0000,1.0000,Y
15,22,0,0.4667,0.3200,1.0000,0.4667,0.3200,1.0000,Y
15,22,1,0.2667,0.0400,1.0000,0.2667,0.0400,1.0000,Y
15,22,2,0.2000,0.0000,1.0000,0.2000,0.0000,1.0000,Y
