tb,cqi,mcs,ack,offset_db,d_offset,expect_d
0,12,22,0,0.000,0.000,0.000
1,9,14,1,-0.900,-0.900,-0.900
2,11,19,1,-0.800,0.100,0.100
3,12,20,0,-0.700,0.100,0.100
4,10,15,1,-1.600,-0.900,-0.900
5,11,18,1,-1.500,0.100,0.100
6,15,26,0,-1.400,0.100,0.100
7,10,14,1,-2.300,-0.900,-0.900
8,9,12,1,-2.200,0.100,0.100
9,9,12,1,-2.100,0.100,0.100
10,5,3,1,-2.000,0.100,0.100
11,5,4,1,-1.900,0.100,0.100
12,4,3,1,-1.800,0.100,0.100
13,4,3,1,-1.700,0.100,0.100
14,4,3,1,-1.600,0.100,0.100
15,4,3,1,-1.500,0.100,0.100
16,4,3,1,-1.400,0.100,0.100
17,7,8,1,-1.300,0.100,0.100
18,7,8,1,-1.200,0.100,0.100
19,9,14,0,-1.100,0.100,0.100
20,7,7,1,-2.000,-0.900,-0.900
21,9,12,1,-1.900,0.100,0.100
22,10,14,1,-1.800,0.100,0.100
23,10,14,0,-1.700,0.100,0.100
24,7,7,1,-2.600,-0.900,-0.900
25,6,5,1,-2.500,0.100,0.100
26,5,3,1,-2.400,0.100,0.100
27,5,3,1,-2.300,0.100,0.100
28,5,3,1,-2.200,0.100,0.100
29,6,5,1,-2.100,0.100,0.100
30,7,7,1,-2.000,0.100,0.100
31,8,11,1,-1.900,0.100,0.100
32,7,7,1,-1.800,0.100,0.100
33,5,4,1,-1.700,0.100,0.100
34,9,13,1,-1.600,0.100,0.100
35,11,18,0,-1.500,0.100,0.100
36,11,16,1,-2.400,-0.900,-0.900
37,11,16,1,-2.300,0.100,0.100
38,14,23,1,-2.200,0.100,0.100
39,13,21,1,-2.100,0.100,0.100
40,13,22,1,-2.000,0.100,0.100
41,14,24,1,-1.900,0.100,0.100
42,15,26,1,-1.800,0.100,0.100
43,15,26,1,-1.700,0.100,0.100
44,15,26,1,-1.600,0.100,0.100
45,15,26,1,-1.500,0.100,0.100
46,15,26,1,-1.400,0.100,0.100
47,15,26,1,-1.300,0.100,0.100
48,15,26,1,-1.200,0.100,0.100
49,15,26,1,-1.100,0.100,0.100
50,15,26,1,-1.000,0.100,0.100
51,15,26,1,-0.900,0.100,0.100
52,15,26,1,-0.800,0.100,0.100
53,15,27,1,-0.700,0.100,0.100
54,15,27,0,-0.600,0.100,0.100
55,12,20,1,-1.500,-0.900,-0.900
56,13,22,1,-1.400,0.100,0.100
57,13,22,1,-1.300,0.100,0.100
58,13,22,1,-1.200,0.100,0.100
59,13,22,1,-1.100,0.100,0.100
60,15,26,1,-1.000,0.100,0.100
61,15,26,1,-0.900,0.100,0.100
62,15,26,1,-0.800,0.100,0.100
63,13,22,1,-0.700,0.100,0.100
64,12,20,1,-0.600,0.100,0.100
65,13,23,1,-0.500,0.100,0.100
66,15,27,0,-0.400,0.100,0.100
67,15,26,1,-1.300,-0.900,-0.900
68,15,26,0,-1.200,0.100,0.100
69,14,23,1,-2.100,-0.900,-0.900
70,15,25,1,-2.000,0.100,0.100
71,15,26,1,-1.900,0.100,0.100
72,15,26,1,-1.800,0.100,0.100
73,15,26,1,-1.700,0.100,0.100
74,15,26,0,-1.600,0.100,0.100
75,11,16,1,-2.500,-0.900,-0.900
76,11,16,1,-2.400,0.100,0.100
77,13,21,1,-2.300,0.100,0.100
78,13,21,1,-2.200,0.100,0.100
79,13,21,1,-2.100,0.100,0.100
80,14,23,1,-2.000,0.100,0.100
81,14,24,1,-1.900,0.100,0.100
82,15,26,1,-1.800,0.100,0.100
83,15,26,1,-1.700,0.100,0.100
84,13,22,1,-1.600,0.100,0.100
85,15,26,1,-1.500,0.100,0.100
86,15,26,1,-1.400,0.100,0.100
87,15,26,1,-1.300,0.100,0.100
88,14,24,0,-1.200,0.100,0.100
89,10,14,1,-2.100,-0.900,-0.900
90,11,18,1,-2.000,0.100,0.100
91,13,22,1,-1.900,0.100,0.100
92,12,19,1,-1.800,0.100,0.100
93,11,18,1,-1.700,0.100,0.100
94,10,15,1,-1.600,0.100,0.100
95,10,15,1,-1.500,0.100,0.100
96,8,11,1,-1.400,0.100,0.100
97,9,13,0,-1.300,0.100,0.100
98,6,5,1,-2.200,-0.900,-0.900
99,6,5,1,-2.100,0.100,0.100
100,6,5,1,-2.000,0.100,0.100
101,6,5,1,-1.900,0.100,0.100
102,8,11,1,-1.800,0.100,0.100
103,9,13,0,-1.700,0.100,0.100
104,10,14,1,-2.600,-0.900,-0.900
105,10,14,1,-2.500,0.100,0.100
106,12,19,1,-2.400,0.100,0.100
107,13,21,1,-2.300,0.100,0.100
108,15,25,1,-2.200,0.100,0.100
109,14,23,1,-2.100,0.100,0.100
110,14,23,1,-2.000,0.100,0.100
111,13,22,1,-1.900,0.100,0.100
112,13,22,0,-1.800,0.100,0.100
113,10,14,1,-2.700,-0.900,-0.900
114,10,14,1,-2.600,0.100,0.100
